nombres,apellidos,tipo_documento,numero_documento,direccion,telefono,fecha_nacimiento,departamento,ciudad,usuario_email
Felipe,Luque,PA,4742196300,"Calle Agustina Martín 23 Puerta 3 , Huelva, 01373",+34 884 759 703,1983-07-13,Cundinamarca,Soacha,felipe.luque4182@example.com
Ruperta,Tena,TI,5693179209,"Cuesta de Lupe Asenjo 92 Apt. 59 , Zamora, 02358",+34944 57 18 32,1966-07-25,Valle del Cauca,Palmira,ruperta.tena6164@example.com
Plácido,Estevez,TI,1906377781,"Via de Raimundo Marqués 848, Barcelona, 38929",+34884892136,1960-11-29,Valle del Cauca,Tuluá,plácido.estevez7481@example.com
Vera,Rozas,TI,7587734257,"Plaza Jenaro Riquelme 66, Granada, 51245",+34 820557640,1955-06-03,Valle del Cauca,Buenaventura,vera.rozas241@example.com
Josué,Pineda,PA,3122118931,"Paseo de Fidel Oliver 972, Albacete, 27479",+34879 37 13 82,1979-02-10,Antioquia,Rionegro,josué.pineda2011@example.com
Sabas,Coloma,TI,5015226802,"Ronda de Adelardo Naranjo 22, Ávila, 16862",+34976 132 148,1966-12-05,Cundinamarca,Soacha,sabas.coloma5867@example.com
Ciro,Lara,TI,6704080270,"Acceso Anna Sanmartín 50, Toledo, 04578",+34873 77 17 35,1995-10-28,Atlántico,Barranquilla,ciro.lara117@example.com
Alex,Alcalde,PA,6347089255,"Cañada de América Salazar 13 Apt. 59 , Girona, 05378",+34 988875052,1966-02-05,Antioquia,Envigado,alex.alcalde7787@example.com
Jose Angel,Haro,PA,7849053819,"Acceso de Lina Pinedo 2 Piso 2 , Navarra, 17725",+34847 93 02 87,2014-12-08,Atlántico,Sabanalarga,jose angel.haro2425@example.com
Cristian,Paredes,PA,1680416339,"Cañada Felicia Serrano 16, Burgos, 07885",+34 845 303 665,1970-03-23,Cundinamarca,Zipaquirá,cristian.paredes5630@example.com
Jesusa,Font,CC,1960102304,"Callejón de Benigna Catalán 87, Tarragona, 45940",+34 980 60 56 65,2002-04-19,Valle del Cauca,Cali,jesusa.font5437@example.com
Alba,Solé,PA,5767788596,"Cañada de Haydée Lloret 6 Piso 6 , Valencia, 49084",+34 831 388 722,1942-04-19,Antioquia,Bello,alba.solé7562@example.com
Nicodemo,Olmedo,CC,4782147116,"Alameda de Petrona Barragán 30, Valladolid, 23280",+34974953163,1947-09-11,Atlántico,Malambo,nicodemo.olmedo3370@example.com
Ruben,Alcalá,PA,6772416199,"Paseo de Cornelio Mora 71, Álava, 27374",+34928 14 18 58,2002-02-02,Valle del Cauca,Tuluá,ruben.alcalá9648@example.com
Román,Tur,CC,4292128335,"Acceso Salvador Acosta 16, Ávila, 28280",+34 611 50 64 00,1936-12-28,Atlántico,Malambo,román.tur3097@example.com
Danilo,Porcel,CC,7239820890,"Callejón Galo Sanmiguel 218, Zamora, 41287",+34900260588,1921-08-05,Cundinamarca,Soacha,danilo.porcel3986@example.com
Clotilde,Sarabia,CC,1291296783,"Camino de Ani Borrell 48 Puerta 8 , Barcelona, 13209",+34936219940,2018-09-15,Valle del Cauca,Cali,clotilde.sarabia6494@example.com
Isaías,Ropero,TI,5623688329,"Callejón de Primitivo Bas 18 Puerta 7 , Granada, 29331",+34 973 963 432,1929-03-01,Antioquia,Medellín,isaías.ropero4164@example.com
Benigna,Rivera,TI,3888559021,"Pasadizo Odalis Lago 96 Apt. 83 , Burgos, 03523",+34 821971332,1980-05-28,Atlántico,Malambo,benigna.rivera9450@example.com
Ignacio,Ibáñez,CC,4217898198,"Via Carmela Benavente 41, Las Palmas, 37470",+34880 135 968,2011-02-15,Cundinamarca,Chía,ignacio.ibáñez8132@example.com
Tere,Palomar,PA,2819282342,"Glorieta de Aurora Cañas 99, La Coruña, 43079",+34 850 47 43 84,1929-05-28,Cundinamarca,Zipaquirá,tere.palomar3066@example.com
